Age,Gender,Type of community,College,Course,Year Level,Which messaging app do you use most frequently?,How often do you use messaging apps?,How long have you been using messaging apps?,What type of device do you primarily use for messaging?,1.   I find the messaging system useful in terms of communication. ,2.  Using the messaging system enables me to communicate efficiently. ,3.  Using the messaging system increases my productivity.,"4.  If I use the messaging system, I will increase my chances of online interaction.",5. My interaction with the messaging system is  clear and understandable.,6. It is easy for me to become skillful at using the messaging system. ,7.  I find the messaging system easy to use.,8. Learning to operate the messaging system is easy for me.,9.  Using the messaging system is a good idea.,10. The messaging system makes communication more interesting.,11.  Communicating with the messaging system is fun.,12. I like communicating with the messaging system.,13. People who influence my behavior think that I should use the messaging system.,14.  People who are important to me think that I should use the messaging system.,15. The student management of the institution had been helpful in the use of the messaging system.,"16. In general, the organization has supported the use of the messaging system.",17.  I have the resources necessary to use the messaging system.,18. I have the knowledge necessary to use the messaging system.,19. The messaging system is not compatible with other systems I use.,20.  A specific person (or group) is available for assistance with messaging system difficulties. ,21.  If there was no one around to tell me what to do as I go.,22. If I could call someone for help if I got stuck.,23. If I had a lot of time to complete the job for which the software was provided.,24.  If I had just the built-in help facility assistance.,25. I feel apprehensive about using the messaging system.,26. It scares me to think that I could lose a lot of information using the messaging system by hitting the  wrong key.,27. I hesitate to use the messaging system for fear of making mistakes I cannot correct.,28. The messaging system is somewhat intimidating to me.,29.  I intend to use the messaging system in the future.,30.  I predict I would use the messaging system in the future.,31.  I plan to use the messaging system in the next future. 
18,Female,Rural,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,4,3,4,5,5,5,5,5,5,5,5,4,4,3,5,5,5,5,4,4,5,5,4,3,5,3,2,5,5,5
20,Male,Rural,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,4,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
21,Male,Rural,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN ARCHITECTURE,2nd Year,Facebook Messenger,Multiple times a day,2-5 years,Smartphone,4,4,4,2,4,4,5,5,5,4,4,4,4,4,4,5,4,5,3,4,5,4,5,4,4,4,3,3,3,4,4
21,Female,Urban,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,3rd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,2,3,3,4,3,4,4,4,4,3,3,3,4,4,4,4,4,1,3,4,4,4,2,2,1,2,1,4,5,5
21,Female,Urban,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN CIVIL ENGINEERING,3rd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,4,3,3,4,3,4,4,4,3,3,3,3,4,4,4,4,4,1,3,4,4,4,2,2,1,2,1,4,5,5
20,Male,Rural,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,4,5,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,2,2,3,2,4,4,3,5,3,2,5,5,5
21,Female,Urban,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN CIVIL ENGINEERING,3rd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,4,3,5,4,5,5,5,4,5,5,3,3,3,5,5,5,1,3,4,5,3,5,4,3,3,3,4,5,5
21,Male,Urban,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,3rd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,5,5,5,5,5,5,5,5,4,5,3,3,4,5,5,5,1,4,3,5,4,3,5,3,3,3,5,5,5
20,Female,Urban,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN CIVIL ENGINEERING,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,4,5,4,4,4,5,5,4,4,4,5,4,5,5,5,4,5,1,1,2,4,4,4,2,4,2,2,5,5,5
21,Female,Urban,Iloilo Science and Technology University,BACHELOR OF ELEMENTARY EDUCATION MAJOR IN PHYSICAL SCIENCE,3rd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,3,3,5,3,3,5,3,3,3,3,1,3,3,3,5,3,3,3,3,3,5,5,3,3,5,5,1,5,5,4
20,Female,Urban,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,2nd Year,Facebook Messenger,Rarely,6 months to 1 year,Smartphone,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,4,4,3,3,3,4,3,3,4,3,3,3,3
20,Male,Rural,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN ARCHITECTURE,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,3,4,5,5,3,4,3,2,5,5,5
20,Female,Rural,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,4,5,4,4,5,5,5,5,5,5,4,5,5,5,4,4,4,4,4,4,4,4,4,5,3,3,5,5,4
20,Female,Rural,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN CIVIL ENGINEERING,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,4,5,5,3,5,5,5,5,5,3,5,3,3,4,4,5,5,2,5,5,5,5,5,3,4,2,1,5,5,5
20,Male,Rural,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,2nd Year,Facebook Messenger,Multiple times a day,2-5 years,Smartphone,5,5,4,3,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,5,4,5,4,4,1,3,4,2,5,5,4
19,Female,Rural,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION SYSTEMS,1st Year,Snapchat,Multiple times a day,6 months to 1 year,Smartphone,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
20,Male,Rural,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,2,4,5,5,5,5,4,5,5,5,5,5,4,4,5,5,1,4,5,5,5,4,4,5,5,5,5,5,5
20,Male,Rural,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,4,4,4,5,4,5,5,5,5,5,5,5,5,4,4,5,5,1,4,5,5,5,5,4,5,4,4,5,5,5
19,Male,Urban,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INDUSTRIAL TECHNOLOGY (BIT) – LEVEL III,2nd Year,Facebook Messenger,Multiple times a day,2-5 years,Smartphone,1,5,4,4,5,4,5,4,5,4,3,4,4,5,5,5,4,4,3,4,5,3,4,4,3,3,4,3,2,5,5
19,Male,Urban,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,4,5,3,3,4,3,5,4,4,4,3,5,5,5,4,5,2,3,4,4,4,5,4,2,2,2,5,4,5
21,Female,Urban,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,3,4,4,4,4,4,4,4,3,4,3,4,4,4,3,4,3,3,3,4,4,4,4,4,4,4,5,5,5
20,Male,Rural,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INDUSTRIAL TECHNOLOGY (BIT) – LEVEL III,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,4,4,5,3,3,5,4,4,4,4,5,4,4,5,5,5,4,4,4,4,5,5,4,4,5,4,4,4,5,4
20,Male,Urban,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION SYSTEMS,1st Year,Facebook Messenger,Once a day,More than 5 years,Smartphone,4,4,4,4,4,5,5,5,4,3,3,4,3,3,4,4,4,5,3,3,4,4,4,4,2,2,2,1,5,5,5
21,Female,Urban,Iloilo Science and Technology University,BACHELOR OF ELEMENTARY EDUCATION,3rd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,4,3,5,3,3,5,5,4,4,4,5,5,4,5,4,4,5,3,4,4,4,5,4,3,5,5,4,3,4,4
20,Male,Rural,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,2nd Year,Facebook Messenger,Multiple times a day,2-5 years,Smartphone,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
20,Female,Urban,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN ARCHITECTURE,2nd Year,Telegram,Multiple times a day,More than 5 years,Smartphone,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,3,2,4,3,5,5,5
20,Male,Urban,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,5,5,5
20,Female,Urban,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
23,Male,Rural,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,5,5,3,3,3,3,5,5,5
19,Male,Urban,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,5,5,5,5,5,4,3,4,3,4,4,3,4,4,5,5,4,5,4,5,5,5,3,4,5,3,4,4,5
21,Male,Rural,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,1,1,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,2,1,2,2,2,2,1,1,4,1,1,1
20,Female,Urban,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
19,Male,Urban,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,3,3,4,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,1,3,5,5,5,5,3,4,5,3,5,5,5
20,Female,Rural,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,3,3,5,5,5,5,3,5,5,3,5,5,5
20,Female,Rural,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,2nd Year,Facebook Messenger,A few times a week,More than 5 years,Smartphone,5,4,3,4,5,4,5,5,3,4,5,5,3,4,4,5,5,5,3,4,4,5,5,5,3,4,2,2,4,5,5
21,Female,Urban,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,3rd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,2,2,3,5,5,3,3,5,4,3,5,5,5
20,Male,Rural,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,4,3,4,4
18,Female,Rural,Iloilo Science and Technology University,BACHELOR IN HUMAN SERVICES,1st Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
19,Male,Rural,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,5,5,5,5,5,5,4,4,4,3,4,4,4,4,5,5,2,2,5,2,5,3,4,3,2,2,4,4,4
20,Female,Urban,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,4,4,5,4,5,4,4,5,4,4,4,4,4,5,4,5,3,4,4,5,4,4,4,3,3,3,4,4,3
19,Male,Urban,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN CIVIL ENGINEERING,1st Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,3,5,5,5,4,4,4,4,4,4,4,5,5,4,4,4,2,3,5,3,3,4,2,4,2,1,4,4,4
19,Female,Rural,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN CIVIL ENGINEERING,1st Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
21,Female,Rural,Iloilo Science and Technology University,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCE,3rd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,4,4,3,3,3,3,4,5,3,3,4,3,3,4,3,4,4,3,3,2,3,4,3,3,3,3,3,3,3,3,4
21,Male,Rural,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN COMPUTER SCIENCE,3rd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,3,4,4,4,5,5,5,4,4,3,3,4,4,3,4,4,3,3,4,3,3,3,2,2,2,2,4,4,4
21,Female,Rural,Iloilo Science and Technology University,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCE,3rd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,3,4,4,5,5,4,4,4,5,5,4,3,5,5,4,4,2,4,4,2,4,4,4,3,4,4,4,4,4
20,Female,Rural,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,1,5,4,5,3,4,1,5,4,1,5,5,5
