Age,Gender,Type of community,College,Course,Year Level,Which messaging app do you use most frequently?,How often do you use messaging apps?,How long have you been using messaging apps?,What type of device do you primarily use for messaging?,1.   I find the messaging system useful in terms of communication. ,2.  Using the messaging system enables me to communicate efficiently. ,3.  Using the messaging system increases my productivity.,"4.  If I use the messaging system, I will increase my chances of online interaction.",5. My interaction with the messaging system is  clear and understandable.,6. It is easy for me to become skillful at using the messaging system. ,7.  I find the messaging system easy to use.,8. Learning to operate the messaging system is easy for me.,9.  Using the messaging system is a good idea.,10. The messaging system makes communication more interesting.,11.  Communicating with the messaging system is fun.,12. I like communicating with the messaging system.,13. People who influence my behavior think that I should use the messaging system.,14.  People who are important to me think that I should use the messaging system.,15. The student management of the institution had been helpful in the use of the messaging system.,"16. In general, the organization has supported the use of the messaging system.",17.  I have the resources necessary to use the messaging system.,18. I have the knowledge necessary to use the messaging system.,19. The messaging system is not compatible with other systems I use.,20.  A specific person (or group) is available for assistance with messaging system difficulties. ,21.  If there was no one around to tell me what to do as I go.,22. If I could call someone for help if I got stuck.,23. If I had a lot of time to complete the job for which the software was provided.,24.  If I had just the built-in help facility assistance.,25. I feel apprehensive about using the messaging system.,26. It scares me to think that I could lose a lot of information using the messaging system by hitting the  wrong key.,27. I hesitate to use the messaging system for fear of making mistakes I cannot correct.,28. The messaging system is somewhat intimidating to me.,29.  I intend to use the messaging system in the future.,30.  I predict I would use the messaging system in the future.,31.  I plan to use the messaging system in the next future. 
21,Female,Rural,Iloilo Science and Technology University,BACHELOR OF SECONDARY EDUCATION MAJOR IN SCIENCE,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,4,4,4,4,4,4,4,3,3,4,3,4,3,3,3,3,3,4,4,4,4,3,4,4,3,3,4,4,3,4,4
20,Female,Rural,Iloilo Science and Technology University,BACHELOR IN FASHION DESIGN AND MERCHADIZING (BSFDM) – LEVEL II,3rd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
20,Female,Rural,Iloilo Science and Technology University,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,4,5,5,5,5,5,5,5,5,5,3,3,3,4,5,5,5,5,5,3,5,3,1,5,1,1,5,5,5
20,Female,Urban,West Visayas State University (WVSU),Bachelor of Science in Information Technology,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
20,Female,Rural,University of San Agusin (USA),Bachelor of Science in Nursing,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,5,5,5,4,5,5,1,1,5,5,5
21,Male,Rural,University of San Agusin (USA),Bachelor of Science in Nursing,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,3,4,4,3,5,5,5,5,5,5,3,5,4,4,3,5,2,2,3,1,2,3,4,5,3,4,4,4,4
20,Female,Rural,University of San Agusin (USA),Bachelor of Science in Nursing,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,3,5,2,4,4,5,5,4,5,5,5,5,3,5,5,5,4,4,3,5,4,5,3,4,3,4,3,2,5,5,5
20,Female,Urban,University of San Agusin (USA),Bachelor of Science in Nursing,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,4,4,4,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5
19,Male,Rural,West Visayas State University (WVSU),Bachelor of Science in Business Administration major in Financial Management ,1st  Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,5,5,5,5,1,4,2,1,5,5,5
18,Female,Urban,West Visayas State University (WVSU),Bachelor of Science in Business Administration major in Financial Management ,1st  Year,Facebook Messenger,Multiple times a day,2-5 years,Smartphone,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,5,5,5,5,5,3,3,1,5,5,5
18,Female,Rural,West Visayas State University (WVSU),Bachelor of Science in Business Administration major in Financial Management ,1st  Year,Facebook Messenger,Multiple times a day,2-5 years,Smartphone,5,4,3,4,3,3,4,4,4,5,4,4,3,5,5,3,4,4,3,3,3,5,3,4,3,5,4,2,4,4,5
23,Female,Rural,University of San Agusin (USA),Bachelor of Science in Medical Laboratory Science,4th Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,1,4,5,5,5,5,1,3,2,1,5,5,5
21,Female,Urban,West Visayas State University (WVSU),Bachelor of Science in Hospitaliyy Management,3rd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,5,5,5,3,3,4,3,2,5,5,5
20,Male,Urban,Iloilo Doctor's College,Bachelor of Science in Radiologic Technology,2nd Year,Facebook Messenger,Multiple times a day,2-5 years,Smartphone,5,5,4,5,4,4,5,5,4,4,4,4,3,3,4,4,3,4,3,3,4,4,4,4,4,3,2,3,4,4,4
22,Female,Rural,West Visayas State University (WVSU),Bachelor of Science in Hospitality Management,3rd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,4,5,4,3,5,3,4,5,4,5,4,5,4,5,4,5,3,4,3,3,3,3,3,4,4,3,5,5,5
21,Male,Urban,West Visayas State University (WVSU),Bachelor of Science in Hospitality Management ,3rd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,4,4,5,3,4,5,5,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,3,3,3,3,4,5,4
20,Male,Urban,University of Iloilo (UI),Bachelor of Science in Criminology ,2nd Year,Facebook Messenger,Multiple times a day,2-5 years,Smartphone,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,5,4,4,4,4,4,1,3,5,5
20,Male,Urban,University of Iloilo (UI),Bachelor of Science in Hospitality Management ,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,4,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,3,4,4,4,4,4,3,5,3,3,5,5,5
20,Female,Rural,University of Iloilo (UI),Bachelor of Science in Criminology ,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,4,5,4,4,5,5,5,5,5,5,4,5,5,5,4,5,2,4,4,5,4,3,1,3,3,2,5,4,4
20,Male,Rural,University of Iloilo (UI),Bachelor of Science in Hospitality Management,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,4,4,4,4,3,3,5,5,4,3,3,4,4,4,5,4,5,5,2,4,3,4,4,4,3,4,3,2,4,4,4
21,Female,Rural,Iloilo Doctor's College,Bachelor of science in nursing ,3rd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,3,4,5,5,5,3,5,3,4,5,5,4,4,4,5,5,5,5,4,5,5,5,3,4,5,4,5,5,5,5
19,Female,Urban,University of Iloilo (UI),Bachelor of Science in Nursing,1st  Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,4,4,5,5,5,5,5,4,4,4,4,5,5,5,5,5,2,4,4,4,4,3,4,2,3,2,5,5,5
19,Female,Urban,Western Institute of Technology (WIT),Bachelor of Science in Civil Engineering,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,3,4,4,4,5,5,5,4,4,3,4,4,4,4,5,5,2,3,5,5,4,5,3,5,3,2,5,5,5
20,Female,Urban,Western Institute of Technology (WIT),Bachelor of Science in Civil Engineering ,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,3,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,4,5,5,5,5,5,4,5,5,3,5,5,5
22,Male,Urban,University of San Agusin (USA),Bachelor of Science in Nursing,4th Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,4,5,4,3,3,4,5,4,4,4,3,3,3,2,4,3,5,5,5,3,4,3,4,3,3,3,3,3,3,3,3
20,Male,Urban,West Visayas State University (WVSU),Bachelor of Science in Information Technology ,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,4,5,5,5,4,3,5,5,4,4,3,5,5,5,3,3,4,3,3,5,3,5,3,3,3,3,5,4,4
20,Male,Urban,Western Institute of Technology (WIT),Bachelor of Science in Information Technology,3rd Year,Facebook Messenger,Multiple times a day,2-5 years,Smartphone,5,4,3,4,4,3,4,4,4,4,4,3,3,4,3,4,5,5,4,4,4,2,3,4,3,3,2,2,3,3,3
20,Male,Urban,University of Iloilo (UI),Bachelor of Science in Information Technology,1st  Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,1,5,5,4,5,5,5,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,4,4,4,3,4,4,4
21,Male,Urban,Univeristy of the Philippines - Visayas,Bachelor of Science in Economics,3rd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,5,5,5,5,5,5,5,5,4,4,3,5,2,5,5,5,5,5,5,5,5,5,5,5,3,1,5,5,5
22,Female,Rural,West Visayas State University (WVSU),Bachelor of Elementary Education,4th Year,Facebook Messenger,Multiple times a day,2-5 years,Smartphone,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,4,4,4
21,Female,Urban,Central Philippine University (CPU),Bachelor of Science in Biology with specialization in Microbiology,3rd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,2,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,1,2,2,5,3,3,4,5,3,3,5,5,5
23,Female,Rural,West Visayas State University (WVSU),Bachelor of Science in Forestry,4th Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,5,5,5,4,5,5,5,4,4,4,4,3,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4
21,Male,Urban,John B. Lacson University,Bachelor of Science In Marine Engineering ,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5
21,Female,Rural,Western Institute of Technology (WIT),Bachelor of Science in Business Administration ,3rd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4
25,Male,Rural,West Visayas State University (WVSU),Bachelor of art in english language studies,4th Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,3,5,5,5,5,4,2,4,3,4
22,Male,Urban,St.Vicent College,Bachelor of Science in Accountancy,3rd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
20,Female,Rural,West Visayas State University (WVSU),Bachelor of Science in Information Technology,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,5,3,5,4,5,5,5,4,4,4,4,4,4,5,3,5,4,3,4,4,4,2,3,5,4,3,4,4,4
20,Female,Urban,West Visayas State University (WVSU),Bachelor of Library and Information Science,3rd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,3,5,5,5,5,5,5,5,5,5,4,4,3,5,5,5,1,2,4,5,3,3,1,5,2,1,5,5,5
20,Male,Urban,West Visayas State University (WVSU),Bachelor of Science in Business Admiration Major in Operations Management,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,4,4,4,5,4,5,5,5,5,5,5,5,3,4,4,5,5,5,2,2,3,4,4,3,5,2,2,1,5,5,5
22,Male,Urban,Central Philippine University (CPU),Bachelor of Science in Civil Engineering ,3rd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,5,4,3,5,5,5,5,5,5,5,5,5,3,5,5,5,3,3,3,4,3,3,5,3,3,3,5,5,5
19,Female,Urban,West Visayas State University (WVSU),Bachelor of Science in Development Communication,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,4,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,1,3,5,5,5,5,4,5,3,2,5,5,5
20,Female,Urban,West Visayas State University (WVSU),Bachelor of Library and Information Science,3rd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,4,4,3,4,4,4,5,5,5,4,4,4,3,3,3,3,4,4,3,3,3,4,3,3,3,3,3,3,5,5,5
21,Female,Urban,West Visayas State University (WVSU),Bachelor of Secondary Major in English,3rd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,1,1,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,3,2,4,4,4,3,2,3,1,3,1,1,1
22,Female,Urban,West Visayas State University (WVSU),Bachelor of Secondary Education Major in English,3rd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,3,5,5,5,5,5,5,5,5,5,3,3,5,4,5,5,5,5,3,1,3,3,3,3,3,5,5,5,5
19,Female,Urban,University of Iloilo (UI),Bachelor of Science in Hospitality Management,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,5,5,5,4,5,5,4,5,4,5,3,4,5,5,5,5,3,5,5,5,5,4,4,4,3,3,5,5,5
20,Female,Urban,Iloilo City Community College,Bachelor of Science in Office administration,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,3,5,5,4,5,5,4,3,3,2,2,3,3,3,4,5,1,3,4,5,5,5,3,2,3,3,3,5,5
20,Male,Urban,University of Iloilo (UI),Bachelor of Science in hospitality Management ,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,5,5,5,5,5,4,4,5,5,5,3,3,3,3,3,5,3,5,3,4,2,3,3,2,2,2,2,2,2
20,Female,Urban,University of San Agusin (USA),Bachelor of Science in Medical Laboratory Science,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2,3,4,4,4,4,2,4,3,3,4,4,4
20,Female,Urban,University of Iloilo (UI),Bachelor of Science in Accountancy,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,4,4,5,4,5,5,5,5,5,4,4,4,4,4,4,5,5,2,4,4,3,4,4,1,2,1,1,5,5,5
20,Female,Rural,University of Iloilo (UI),Bachelor of Science in Accountancy ,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,3,4,5,5,5,5,4,5,5,3,4,5,4,5,5,5,4,3,5,5,5,5,3,5,5,4,5,5,5
21,Female,Rural,University of Iloilo (UI),Bachelor of Science in Accountancy ,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,3,5,4,5,5,5,4,3,4,3,3,2,5,5,5,5,3,4,5,1,3,5,3,3,3,3,5,5,5
20,Female,Rural,University of Iloilo (UI),Bachelor of Science in Accountancy ,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,3,4,4,2,5,4,4,4,4,4,3,3,5,4,3,4,2,4,2,4,4,3,2,2,4,2,4,3,3
20,Male,Rural,University of Iloilo (UI),Bachelor of Science in Accountancy ,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,2,1,3,1,3,3,3,3,3,3,3,3,3,3,4,4,1,4,5,5,4,4,4,4,3,4,4,4,4
20,Male,Urban,University of Iloilo (UI),Bachelor of Science in Accountancy,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,3,4,3,3,3,3,3,2,3,3,3
20,Male,Rural,University of Iloilo (UI),Bachelor of Science in Accountancy,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,3,4,5,3,4,4,5,5,5,5,3,3,5,5,4,4,3,2,4,5,4,3,3,3,2,3,4,4,4
20,Male,Rural,University of Iloilo (UI),Bachelor of Science in Accountancy ,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,2,5,5,3,5,5,5,4,5,5,4,4,5,5,5,4,2,3,3,2,5,5,5,5,5,5,5,5,5
21,Male,Urban,University of Iloilo (UI),Bachelor of science in Accountancy ,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,3,3,4,4,4,5,4,1,4,4,2,2,5,2,3,3,4,1,4,2,3,4,2,4,1,3,3,3,4,2
21,Female,Urban,University of Iloilo (UI),Bachelor of Science in Accountancy,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,3,5,4,4,5,4,5,5,5,5,5,5,4,5,5,5,2,4,4,5,5,4,2,5,2,2,5,5,5
19,Female,Rural,Central Philippine University (CPU),Bachelor of Science in Pharmacy,2nd Year,Facebook Messenger,Multiple times a day,More than 5 years,Smartphone,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,5,5,5,1,3,4,5,3,3,3,4,3,1,5,5,5
